,Title,Question,Examples,Solution,Python
61,Intersection of Two Arrays II,"Given two integer arrays nums1 and nums2, return an array of their intersection. Each element in the result must appear as many times as it shows in both arrays and you may return the result in any order.","Example 1:
Input: nums1 = [1,2,2,1], nums2 = [2,2]
Output: [2,2]
Example 2:
Input: nums1 = [4,9,5], nums2 = [9,4,9,8,4]
Output: [4,9]
Explanation: [9,4] is also accepted.","def intersect(nums1, nums2):
    if len(nums1) > len(nums2):
        return self.intersect(nums2, nums1)

    m = collections.Counter()
    for num in nums1:
        m[num] += 1

    intersection = []
    for num in nums2:
        if m.get(num, 0) > 0:
            intersection.append(num)
            m[num] -= 1

    return intersection",FALSE
62,Wiggle Subsequence,"A wiggle sequence is a sequence where the differences between successive numbers strictly alternate between positive and negative. The first difference (if one exists) may be either positive or negative. A sequence with one element and a sequence with two non-equal elements are trivially wiggle sequences.
For example, [1, 7, 4, 9, 2, 5] is a wiggle sequence because the differences (6, -3, 5, -7, 3) alternate between positive and negative.
In contrast, [1, 4, 7, 2, 5] and [1, 7, 4, 5, 5] are not wiggle sequences. The first is not because its first two differences are positive, and the second is not because its last difference is zero.
A subsequence is obtained by deleting some elements (possibly zero) from the original sequence, leaving the remaining elements in their original order.
Given an integer array nums, return the length of the longest wiggle subsequence of nums.","Example 1:
Input: nums = [1,7,4,9,2,5]
Output: 6
Explanation: The entire sequence is a wiggle sequence with differences (6, -3, 5, -7, 3).
Example 2:
Input: nums = [1,17,5,10,13,15,10,5,16,8]
Output: 7
Explanation: There are several subsequences that achieve this length.
One is [1, 17, 10, 13, 10, 16, 8] with differences (16, -7, 3, -3, 6, -8).
Example 3:
Input: nums = [1,2,3,4,5,6,7,8,9]
Output: 2","class Solution:
    def wiggleMaxLength(self, nums: List[int]) -> int:
        n = len(nums)
        if n < 2:
            return n
        up = down = 1
        for i in range(1, n):
            if nums[i] > nums[i-1]:
                up = down + 1
            elif nums[i] < nums[i-1]:
                down = up + 1
        return max(up, down)",FALSE
63,Combination Sum IV,"Given an array of distinct integers nums and a target integer target, return the number of possible combinations that add up to target.
The test cases are generated so that the answer can fit in a 32-bit integer.","Example 1:
Input: nums = [1,2,3], target = 4
Output: 7
Explanation:
The possible combination ways are:
(1, 1, 1, 1)
(1, 1, 2)
(1, 2, 1)
(1, 3)
(2, 1, 1)
(2, 2)
(3, 1)
Note that different sequences are counted as different combinations.
Example 2:
Input: nums = [9], target = 3
Output: 0","def combinationSum4(nums, target):
    dp = [0] * (target + 1)
    dp[0] = 1
    for i in range(target + 1):
        for num in nums:
            if num <= i:
                dp[i] += dp[i - num]
    return dp[-1]",FALSE
64,Kth Smallest Element in a Sorted Matrix,"Given an n x n matrix where each of the rows and columns is sorted in ascending order, return the kth smallest element in the matrix.
Note that it is the kth smallest element in the sorted order, not the kth distinct element.
You must find a solution with a memory complexity better than O(n2).","Example 1:
Input: matrix = [[1,5,9],[10,11,13],[12,13,15]], k = 8
Output: 13
Explanation: The elements in the matrix are [1,5,9,10,11,12,13,13,15], and the 8th smallest number is 13
Example 2:
Input: matrix = [[-5]], k = 1
Output: -5","
import heapq
def kthSmallest(matrix, k):
    n = len(matrix)
    heap = []
    for r in range(min(k, n)):
        heap.append((matrix[r][0], r, 0))
    heapq.heapify(heap)

    while k:
        element, r, c = heapq.heappop(heap)
        if c < n - 1:
            heapq.heappush(heap, (matrix[r][c + 1], r, c + 1))
        k -= 1
    return element
```",FALSE
65,Insert Delete GetRandom O(1),"Implement the RandomizedSet class:
RandomizedSet() Initializes the RandomizedSet object.
bool insert(int val) Inserts an item val into the set if not present. Returns true if the item was not present, false otherwise.
bool remove(int val) Removes an item val from the set if present. Returns true if the item was present, false otherwise.
int getRandom() Returns a random element from the current set of elements (it's guaranteed that at least one element exists when this method is called). Each element must have the same probability of being returned.
You must implement the functions of the class such that each function works in average O(1) time complexity.","Example 1:
Input
[""RandomizedSet"", ""insert"", ""remove"", ""insert"", ""getRandom"", ""remove"", ""insert"", ""getRandom""]
[[], [1], [2], [2], [], [1], [2], []]
Output
[null, true, false, true, 2, true, false, 2]

Explanation
RandomizedSet randomizedSet = new RandomizedSet();
randomizedSet.insert(1); // Inserts 1 to the set. Returns true as 1 was inserted successfully.
randomizedSet.remove(2); // Returns false as 2 does not exist in the set.
randomizedSet.insert(2); // Inserts 2 to the set, returns true. Set now contains [1,2].
randomizedSet.getRandom(); // getRandom() should return either 1 or 2 randomly.
randomizedSet.remove(1); // Removes 1 from the set, returns true. Set now contains [2].
randomizedSet.insert(2); // 2 was already in the set, so return false.
randomizedSet.getRandom(); // Since 2 is the only number in the set, getRandom() will always return 2.","


import random

class RandomizedSet:

    def __init__(self):
        """"""
        Initialize your data structure here.
        """"""
        self.dict = {}
        self.list = []


    def insert(self, val: int) -> bool:
        """"""
        Inserts a value to the set. Returns true if the set did not already contain the specified element.
        """"""
        if val not in self.dict:
            self.dict[val] = len(self.list)
            self.list.append(val)
            return True
        return False


    def remove(self, val: int) -> bool:
        """"""
        Removes a value from the set. Returns true if the set contained the specified element.
        """"""
        if val in self.dict:
            last, idx = self.list[-1], self.dict[val]
            self.list[idx], self.dict[last] = last, idx
            self.list.pop()
            del self.dict[val]
            return True
        return False


    def getRandom(self) -> int:
        """"""
        Get a random element from the set.
        """"""
        return random.choice(self.list)
```

This solution uses a dictionary to maintain the values and their indices and a list to store the values. The insert operation is O(1) because we are checking the presence of a value in a dictionary and adding a value to a list. The remove operation is also O(1) because we are swapping the value with the last value in the list and then popping the last value, and deleting the value from the dictionary. The getRandom operation is O(1) because we are choosing a random element from the list. So, overall, all operations are O(1) on average.",FALSE
66,Shuffle an Array,"Given an integer array nums, design an algorithm to randomly shuffle the array. All permutations of the array should be equally likely as a result of the shuffling.
Implement the Solution class:
Solution(int[] nums) Initializes the object with the integer array nums.
int[] reset() Resets the array to its original configuration and returns it.
int[] shuffle() Returns a random shuffling of the array.
","Example 1:
Input
[""Solution"", ""shuffle"", ""reset"", ""shuffle""]
[[[1, 2, 3]], [], [], []]
Output
[null, [3, 1, 2], [1, 2, 3], [1, 3, 2]]

Explanation
Solution solution = new Solution([1, 2, 3]);
solution.shuffle();    // Shuffle the array [1,2,3] and return its result.
                       // Any permutation of [1,2,3] must be equally likely to be returned.
                       // Example: return [3, 1, 2]
solution.reset();      // Resets the array back to its original configuration [1,2,3]. Return [1, 2, 3]
solution.shuffle();    // Returns the random shuffling of array [1,2,3]. Example: return [1, 3, 2]","
import random

class Solution:

    def __init__(self, nums):
        self.array = nums
        self.original = list(nums)

    def reset(self):
        self.array = self.original
        self.original = list(self.original)
        return self.array

    def shuffle(self):
        for i in range(len(self.array)):
            swap_idx = random.randrange(i, len(self.array))
            self.array[i], self.array[swap_idx] = self.array[swap_idx], self.array[i]
        return self.array
```",FALSE
67,UTF-8 Validation,"Given an integer array data representing the data, return whether it is a valid UTF-8 encoding (i.e. it translates to a sequence of valid UTF-8 encoded characters).
A character in UTF8 can be from 1 to 4 bytes long, subjected to the following rules:
For a 1-byte character, the first bit is a 0, followed by its Unicode code.
For an n-bytes character, the first n bits are all one's, the n + 1 bit is 0, followed by n - 1 bytes with the most significant 2 bits being 10.
This is how the UTF-8 encoding would work:
     Number of Bytes   |        UTF-8 Octet Sequence
                       |              (binary)
   --------------------+-----------------------------------------
            1          |   0xxxxxxx
            2          |   110xxxxx 10xxxxxx
            3          |   1110xxxx 10xxxxxx 10xxxxxx
            4          |   11110xxx 10xxxxxx 10xxxxxx 10xxxxxx
x denotes a bit in the binary form of a byte that may be either 0 or 1.
Note: The input is an array of integers. Only the least significant 8 bits of each integer is used to store the data. This means each integer represents only 1 byte of data.","Example 1:
Input: data = [197,130,1]
Output: true
Explanation: data represents the octet sequence: 11000101 10000010 00000001.
It is a valid utf-8 encoding for a 2-bytes character followed by a 1-byte character.
Example 2:
Input: data = [235,140,4]
Output: false
Explanation: data represented the octet sequence: 11101011 10001100 00000100.
The first 3 bits are all one's and the 4th bit is 0 means it is a 3-bytes character.
The next byte is a continuation byte which starts with 10 and that's correct.
But the second continuation byte does not start with 10, so it is invalid.","


class Solution:
    def validUtf8(self, data: List[int]) -> bool:
        count = 0
        for num in data:
            if count == 0:
                if (num >> 5) == 0b110:
                    count = 1
                elif (num >> 4) == 0b1110:
                    count = 2
                elif (num >> 3) == 0b11110:
                    count = 3
                elif (num >> 7):
                    return False
            else:
                if (num >> 6) != 0b10:
                    return False
                count -= 1
        return count == 0
```

This is a linear time complexity solution. The idea behind the solution is to use the shifting operator to check the most significant bits of each number in the input list. Depending on the number of leading 1's in the binary form of the number, we determine how many bytes the current UTF-8 character needs. Then we check the next few numbers to see if they are valid continuation bytes. If we encounter any invalid situation, we return False. If we successfully check all numbers in the list, we return True.",FALSE
68,Rotate Function,"You are given an integer array nums of length n.
Assume arrk to be an array obtained by rotating nums by k positions clock-wise. We define the rotation function F on nums as follow:
F(k) = 0 * arrk[0] + 1 * arrk[1] + ... + (n - 1) * arrk[n - 1].
Return the maximum value of F(0), F(1), ..., F(n-1).
The test cases are generated so that the answer fits in a 32-bit integer.","Example 1:
Input: nums = [4,3,2,6]
Output: 26
Explanation:
F(0) = (0 * 4) + (1 * 3) + (2 * 2) + (3 * 6) = 0 + 3 + 4 + 18 = 25
F(1) = (0 * 6) + (1 * 4) + (2 * 3) + (3 * 2) = 0 + 4 + 6 + 6 = 16
F(2) = (0 * 2) + (1 * 6) + (2 * 4) + (3 * 3) = 0 + 6 + 8 + 9 = 23
F(3) = (0 * 3) + (1 * 2) + (2 * 6) + (3 * 4) = 0 + 2 + 12 + 12 = 26
So the maximum value of F(0), F(1), F(2), F(3) is F(3) = 26.
Example 2:
Input: nums = [100]
Output: 0","def maxRotateFunction(nums):
    n=len(nums)
    sum_=sum(nums)
    curr=sum(i*n for i,n in enumerate(nums))
    res=curr
    for i in range(n):
        curr-=n*nums[n-i-1]
        curr+=sum_
        res=max(res,curr)
    return res",FALSE
69,Queue Reconstruction by Height,"You are given an array of people, people, which are the attributes of some people in a queue (not necessarily in order). Each people[i] = [hi, ki] represents the ith person of height hi with exactly ki other people in front who have a height greater than or equal to hi.
Reconstruct and return the queue that is represented by the input array people. The returned queue should be formatted as an array queue, where queue[j] = [hj, kj] is the attributes of the jth person in the queue (queue[0] is the person at the front of the queue).","Example 1:
Input: people = [[7,0],[4,4],[7,1],[5,0],[6,1],[5,2]]
Output: [[5,0],[7,0],[5,2],[6,1],[4,4],[7,1]]
Explanation:
Person 0 has height 5 with no other people taller or the same height in front.
Person 1 has height 7 with no other people taller or the same height in front.
Person 2 has height 5 with two persons taller or the same height in front, which is person 0 and 1.
Person 3 has height 6 with one person taller or the same height in front, which is person 1.
Person 4 has height 4 with four people taller or the same height in front, which are people 0, 1, 2, and 3.
Person 5 has height 7 with one person taller or the same height in front, which is person 1.
Hence [[5,0],[7,0],[5,2],[6,1],[4,4],[7,1]] is the reconstructed queue.
Example 2:
Input: people = [[6,0],[5,0],[4,0],[3,2],[2,2],[1,4]]
Output: [[4,0],[5,0],[2,2],[3,2],[1,4],[6,0]]","

def reconstructQueue(self, people):
    people.sort(key=lambda x: (-x[0], x[1]))
    res = []
    for p in people:
        res.insert(p[1], p)
    return res
```

In this solution, the people list is first sorted in descending order of height and in case of a tie, by the number of people in front. Then, for each person in the sorted list, the person is inserted at the index equal to the number of people in front of him. The final list is the reconstructed queue.",FALSE
70,Arithmetic Slices,"An integer array is called arithmetic if it consists of at least three elements and if the difference between any two consecutive elements is the same.
For example, [1,3,5,7,9], [7,7,7,7], and [3,-1,-5,-9] are arithmetic sequences.
Given an integer array nums, return the number of arithmetic subarrays of nums.
A subarray is a contiguous subsequence of the array.","Example 1:
Input: nums = [1,2,3,4]
Output: 3
Explanation: We have 3 arithmetic slices in nums: [1, 2, 3], [2, 3, 4] and [1,2,3,4] itself.
Example 2:
Input: nums = [1]
Output: 0",":


def numberOfArithmeticSlices(nums):
    res, i = 0, 0
    while i < len(nums) - 2:
        diff = nums[i+1] - nums[i]
        j = i + 2
        while j < len(nums) and nums[j] - nums[j-1] == diff:
            j += 1
        length = j - i
        if length >= 3:
            res += (length - 1) * (length - 2) // 2
        i = j - 1
    return res
```
This solution works by scanning the array from left to right, and whenever it finds a subarray where the difference between consecutive elements is the same, it counts the number of slices that can be made from this subarray. The count is added to the total result. The process continues until the end of the array. If the length of the subarray is less than 3, it means there are no slices that can be made from it, so it is ignored. The time complexity of this solution is O(n), where n is the length of the nums array, and the space complexity is O(1).",FALSE
71,Third Maximum Number,"Given an integer array nums, return the third distinct maximum number in this array. If the third maximum does not exist, return the maximum number.
","Example 1:
Input: nums = [3,2,1]
Output: 1
Explanation:
The first distinct maximum is 3.
The second distinct maximum is 2.
The third distinct maximum is 1.
Example 2:
Input: nums = [1,2]
Output: 2
Explanation:
The first distinct maximum is 2.
The second distinct maximum is 1.
The third distinct maximum does not exist, so the maximum (2) is returned instead.
Example 3:
Input: nums = [2,2,3,1]
Output: 1
Explanation:
The first distinct maximum is 3.
The second distinct maximum is 2 (both 2's are counted together since they have the same value).
The third distinct maximum is 1.","Here is a Python solution following the LeetCode template:


class Solution:
    def thirdMax(self, nums: List[int]) -> int:
        nums = list(set(nums))
        nums.sort(reverse=True)
        if len(nums) < 3:
            return max(nums)
        else:
            return nums[2]
```",FALSE
72,Partition Equal Subset Sum,"Given an integer array nums, return true if you can partition the array into two subsets such that the sum of the elements in both subsets is equal or false otherwise.
","Example 1:
Input: nums = [1,5,11,5]
Output: true
Explanation: The array can be partitioned as [1, 5, 5] and [11].
Example 2:
Input: nums = [1,2,3,5]
Output: false
Explanation: The array cannot be partitioned into equal sum subsets.","def canPartition(self, nums):
    total = sum(nums)
    if total % 2 != 0:
        return False

    target = total // 2
    dp = [False] * (target + 1)
    dp[0] = True

    for num in nums:
        for i in range(target, num - 1, -1):
            dp[i] = dp[i] or dp[i - num]

    return dp[target]",FALSE
73,Pacific Atlantic Water Flow,"There is an m x n rectangular island that borders both the Pacific Ocean and Atlantic Ocean. The Pacific Ocean touches the island's left and top edges, and the Atlantic Ocean touches the island's right and bottom edges.
The island is partitioned into a grid of square cells. You are given an m x n integer matrix heights where heights[r][c] represents the height above sea level of the cell at coordinate (r, c).
The island receives a lot of rain, and the rain water can flow to neighboring cells directly north, south, east, and west if the neighboring cell's height is less than or equal to the current cell's height. Water can flow from any cell adjacent to an ocean into the ocean.
Return a 2D list of grid coordinates result where result[i] = [ri, ci] denotes that rain water can flow from cell (ri, ci) to both the Pacific and Atlantic oceans.","Example 1:

Input: heights = [[1,2,2,3,5],[3,2,3,4,4],[2,4,5,3,1],[6,7,1,4,5],[5,1,1,2,4]]
Output: [[0,4],[1,3],[1,4],[2,2],[3,0],[3,1],[4,0]]
Explanation: The following cells can flow to the Pacific and Atlantic oceans, as shown below:
[0,4]: [0,4] -> Pacific Ocean 
       [0,4] -> Atlantic Ocean
[1,3]: [1,3] -> [0,3] -> Pacific Ocean 
       [1,3] -> [1,4] -> Atlantic Ocean
[1,4]: [1,4] -> [1,3] -> [0,3] -> Pacific Ocean 
       [1,4] -> Atlantic Ocean
[2,2]: [2,2] -> [1,2] -> [0,2] -> Pacific Ocean 
       [2,2] -> [2,3] -> [2,4] -> Atlantic Ocean
[3,0]: [3,0] -> Pacific Ocean 
       [3,0] -> [4,0] -> Atlantic Ocean
[3,1]: [3,1] -> [3,0] -> Pacific Ocean 
       [3,1] -> [4,1] -> Atlantic Ocean
[4,0]: [4,0] -> Pacific Ocean 
       [4,0] -> Atlantic Ocean
Note that there are other possible paths for these cells to flow to the Pacific and Atlantic oceans.
Example 2:
Input: heights = [[1]]
Output: [[0,0]]
Explanation: The water can flow from the only cell to the Pacific and Atlantic oceans.","


class Solution:
    def pacificAtlantic(self, heights: List[List[int]]) -> List[List[int]]:
        if not heights: return []
        m, n = len(heights), len(heights[0])
        directions = [(0,1),(0,-1),(1,0),(-1,0)]
        
        def dfs(x, y, visited):
            visited.add((x, y))
            for dx, dy in directions:
                new_x, new_y = x + dx, y + dy
                if new_x < 0 or new_y < 0 or new_x >= m or new_y >= n or (new_x, new_y) in visited or heights[new_x][new_y] < heights[x][y]:
                    continue
                dfs(new_x, new_y, visited)
        
        pacific = set()
        for i in range(m):
            dfs(i, 0, pacific)
        for i in range(n):
            dfs(0, i, pacific)
            
        atlantic = set()
        for i in range(m):
            dfs(i, n-1, atlantic)
        for i in range(n):
            dfs(m-1, i, atlantic)
        
        return list(pacific.intersection(atlantic))
```

This solution uses Depth-First Search (DFS) to traverse the island from the edges (which are adjacent to the oceans) towards the center. It maintains two sets, `pacific` and `atlantic`, to keep track of the cells from which water can flow to the Pacific and Atlantic oceans, respectively. The cells that can flow to both oceans are the intersection of these two sets.",FALSE
74,Battleships in a Board,"Given an m x n matrix board where each cell is a battleship 'X' or empty '.', return the number of the battleships on board.
Battleships can only be placed horizontally or vertically on board. In other words, they can only be made of the shape 1 x k (1 row, k columns) or k x 1 (k rows, 1 column), where k can be of any size. At least one horizontal or vertical cell separates between two battleships (i.e., there are no adjacent battleships).","Example 1:

Input: board = [[""X"",""."",""."",""X""],[""."",""."",""."",""X""],[""."",""."",""."",""X""]]
Output: 2
Example 2:
Input: board = [["".""]]
Output: 0","class Solution:
    def countBattleships(self, board: List[List[str]]) -> int:
        if not board:
            return 0

        count = 0
        for i in range(len(board)):
            for j in range(len(board[0])):
                if board[i][j] == 'X':
                    if i > 0 and board[i - 1][j] == 'X':
                        continue
                    if j > 0 and board[i][j - 1] == 'X':
                        continue
                    count += 1

        return count",FALSE
75,Maximum XOR of Two Numbers in an Array,"Given an integer array nums, return the maximum result of nums[i] XOR nums[j], where 0 <= i <= j < n.","Example 1:
Input: nums = [3,10,5,25,2,8]
Output: 28
Explanation: The maximum result is 5 XOR 25 = 28.
Example 2:
Input: nums = [14,70,53,83,49,91,36,80,92,51,66,70]
Output: 127","class Solution:
    def findMaximumXOR(self, nums):
        result, mask = 0, 0
        for i in range(31, -1, -1):
            mask = mask | (1 << i)
            candidateResult = result | (1 << i)
            set = {num & mask for num in nums}
            if any(candidateResult^prefix in set for prefix in set):
                result = candidateResult
        return result",FALSE
76,Find Right Interval,"You are given an array of intervals, where intervals[i] = [starti, endi] and each starti is unique.
The right interval for an interval i is an interval j such that startj >= endi and startj is minimized. Note that i may equal j.
Return an array of right interval indices for each interval i. If no right interval exists for interval i, then put -1 at index i.","Example 1:
Input: intervals = [[1,2]]
Output: [-1]
Explanation: There is only one interval in the collection, so it outputs -1.
Example 2:
Input: intervals = [[3,4],[2,3],[1,2]]
Output: [-1,0,1]
Explanation: There is no right interval for [3,4].
The right interval for [2,3] is [3,4] since start0 = 3 is the smallest start that is >= end1 = 3.
The right interval for [1,2] is [2,3] since start1 = 2 is the smallest start that is >= end2 = 2.
Example 3:
Input: intervals = [[1,4],[2,3],[3,4]]
Output: [-1,2,-1]
Explanation: There is no right interval for [1,4] and [3,4].
The right interval for [2,3] is [3,4] since start2 = 3 is the smallest start that is >= end1 = 3.","


class Solution:
    def findRightInterval(self, intervals: List[List[int]]) -> List[int]:
        n = len(intervals)
        res = [-1] * n
        starts = sorted((x[0], i) for i, x in enumerate(intervals))
        for i, x in enumerate(intervals):
            idx = bisect.bisect_left(starts, (x[1],))
            if idx < n:
                res[i] = starts[idx][1]
        return res
```

This solution first sorts the intervals based on their start times and stores the sorted intervals along with their original indices in the 'starts' list. Then for each interval in the original intervals list, it uses binary search (using `bisect_left`) to find the first interval in 'starts' that has a start time greater than or equal to the end time of the current interval. The index of this interval in the 'starts' list is then used to update the 'res' list. If no such interval is found, the value in the 'res' list remains -1. Finally, the 'res' list, which contains the indices of the right intervals for each interval in the original list, is returned.",FALSE
77,Find All Numbers Disappeared in an Array,"Given an array nums of n integers where nums[i] is in the range [1, n], return an array of all the integers in the range [1, n] that do not appear in nums.","Example 1:
Input: nums = [4,3,2,7,8,2,3,1]
Output: [5,6]
Example 2:
Input: nums = [1,1]
Output: [2]","Here is a Python solution using the approach of marking the visited numbers:


class Solution:
    def findDisappearedNumbers(self, nums):
        for i in range(len(nums)):
            index = abs(nums[i]) - 1
            nums[index] = -abs(nums[index])
        return [i + 1 for i, num in enumerate(nums) if num > 0]
```",FALSE
78,Minimum Moves to Equal Array Elements,"Given an integer array nums of size n, return the minimum number of moves required to make all array elements equal.
In one move, you can increment n - 1 elements of the array by 1.","Example 1:
Input: nums = [1,2,3]
Output: 3
Explanation: Only three moves are needed (remember each move increments two elements):
[1,2,3]  =>  [2,3,3]  =>  [3,4,3]  =>  [4,4,4]
Example 2:
Input: nums = [1,1,1]
Output: 0","class Solution:
    def minMoves(self, nums: List[int]) -> int:
        n = len(nums)
        nums.sort()
        minimum_element = nums[0]
        answer = 0
        
        for i in range(n-1, -1, -1):
            answer += (nums[i] - minimum_element)
        
        return answer",FALSE
79,4Sum II,"Given four integer arrays nums1, nums2, nums3, and nums4 all of length n, return the number of tuples (i, j, k, l) such that:
0 <= i, j, k, l < n
nums1[i] + nums2[j] + nums3[k] + nums4[l] == 0","Example 1:
Input: nums1 = [1,2], nums2 = [-2,-1], nums3 = [-1,2], nums4 = [0,2]
Output: 2
Explanation:
The two tuples are:
1. (0, 0, 0, 1) -> nums1[0] + nums2[0] + nums3[0] + nums4[1] = 1 + (-2) + (-1) + 2 = 0
2. (1, 1, 0, 0) -> nums1[1] + nums2[1] + nums3[0] + nums4[0] = 2 + (-1) + (-1) + 0 = 0
Example 2:
Input: nums1 = [0], nums2 = [0], nums3 = [0], nums4 = [0]
Output: 1","def fourSumCount(nums1, nums2, nums3, nums4):
    ans = 0
    mp = {}
    for i in range(len(nums1)):
        for j in range(len(nums1)):
            if nums1[i]+nums2[j] in mp:
                mp[nums1[i]+nums2[j]] += 1
            else:
                mp[nums1[i]+nums2[j]] = 1
    for i in range(len(nums1)):
        for j in range(len(nums1)):
            sum = -(nums3[i]+nums4[j])
            if sum in mp:
                ans += mp[sum]
    return ans",FALSE
80,132 Pattern,"Given an array of n integers nums, a 132 pattern is a subsequence of three integers nums[i], nums[j] and nums[k] such that i < j < k and nums[i] < nums[k] < nums[j].
Return true if there is a 132 pattern in nums, otherwise, return false.","Example 1:
Input: nums = [1,2,3,4]
Output: false
Explanation: There is no 132 pattern in the sequence.
Example 2:
Input: nums = [3,1,4,2]
Output: true
Explanation: There is a 132 pattern in the sequence: [1, 4, 2].
Example 3:
Input: nums = [-1,3,2,0]
Output: true
Explanation: There are three 132 patterns in the sequence: [-1, 3, 2], [-1, 3, 0] and [-1, 2, 0].","Here is the Python solution using a stack:


def find132pattern(nums):
    n = len(nums)
    stack = []
    s3 = float('-inf')

    for i in range(n-1, -1, -1):
        if nums[i] < s3:
            return True
        else:
            while stack and nums[i] > stack[-1]:
                s3 = stack[-1]
                stack.pop()
        
        stack.append(nums[i])
    
    return False
```
This solution works by iterating the array from the end to the start, and it uses a stack to keep track of possible (i, j) pairs. It ensures the stack is always in decreasing order, then it pops all numbers that are smaller than the current number, and those popped numbers are guaranteed to be larger than the previous s3. If the stack is not empty, then the new number is guaranteed to be smaller than s3 (because it's in the stack). So, a 132 pattern is found if there is any number that is smaller than the current s3.",FALSE
81,Circular Array Loop,"You are playing a game involving a circular array of non-zero integers nums. Each nums[i] denotes the number of indices forward/backward you must move if you are located at index i:
If nums[i] is positive, move nums[i] steps forward, and
If nums[i] is negative, move nums[i] steps backward.
Since the array is circular, you may assume that moving forward from the last element puts you on the first element, and moving backwards from the first element puts you on the last element.
A cycle in the array consists of a sequence of indices seq of length k where:
Following the movement rules above results in the repeating index sequence seq[0] -> seq[1] -> ... -> seq[k - 1] -> seq[0] -> ...
Every nums[seq[j]] is either all positive or all negative.
k > 1
Return true if there is a cycle in nums, or false otherwise.","Example 1:

Input: nums = [2,-1,1,2,2]
Output: true
Explanation: The graph shows how the indices are connected. White nodes are jumping forward, while red is jumping backward.
We can see the cycle 0 --> 2 --> 3 --> 0 --> ..., and all of its nodes are white (jumping in the same direction).
Example 2:

Input: nums = [-1,-2,-3,-4,-5,6]
Output: false
Explanation: The graph shows how the indices are connected. White nodes are jumping forward, while red is jumping backward.
The only cycle is of size 1, so we return false.
Example 3:

Input: nums = [1,-1,5,1,4]
Output: true
Explanation: The graph shows how the indices are connected. White nodes are jumping forward, while red is jumping backward.
We can see the cycle 0 --> 1 --> 0 --> ..., and while it is of size > 1, it has a node jumping forward and a node jumping backward, so it is not a cycle.
We can see the cycle 3 --> 4 --> 3 --> ..., and all of its nodes are white (jumping in the same direction).","def circularArrayLoop(nums):
    def getNextPosition(nums, index, frontDirection):
        nextIndex = (nums[index] + index) % len(nums)
        if nextIndex < 0:
            nextIndex = len(nums) + nextIndex
        if index == nextIndex:
            return -1
        direction = nums[nextIndex] >= 0
        if direction != frontDirection:
            return -1
        return nextIndex

    for i in range(len(nums)):
        frontDirection = nums[i] >= 0
        currentPosition = i
        fastPosition = i
        while True:
            currentPosition = getNextPosition(nums, currentPosition, frontDirection)
            if currentPosition == -1:
                break
            fastPosition = getNextPosition(nums, fastPosition, frontDirection)
            if fastPosition == -1:
                break
            fastPosition = getNextPosition(nums, fastPosition, frontDirection)
            if fastPosition == -1:
                break
            if currentPosition == fastPosition:
                return True
    return False",FALSE
82,Minimum Moves to Equal Array Elements II,"Given an integer array nums of size n, return the minimum number of moves required to make all array elements equal.
In one move, you can increment or decrement an element of the array by 1.
Test cases are designed so that the answer will fit in a 32-bit integer.","Example 1:
Input: nums = [1,2,3]
Output: 2
Explanation:
Only two moves are needed (remember each move increments or decrements one element):
[1,2,3]  =>  [2,2,3]  =>  [2,2,2]
Example 2:
Input: nums = [1,10,2,9]
Output: 16","class Solution:
    def minMoves2(self, nums: List[int]) -> int:
        nums.sort()
        median = nums[len(nums) // 2]
        return sum(abs(num - median) for num in nums)",FALSE
83,Matchsticks to Square,"You are given an integer array matchsticks where matchsticks[i] is the length of the ith matchstick. You want to use all the matchsticks to make one square. You should not break any stick, but you can link them up, and each matchstick must be used exactly one time.
Return true if you can make this square and false otherwise.
","Example 1:

Input: matchsticks = [1,1,2,2,2]
Output: true
Explanation: You can form a square with length 2, one side of the square came two sticks with length 1.
Example 2:
Input: matchsticks = [3,3,3,3,4]
Output: false
Explanation: You cannot find a way to form a square with all the matchsticks.","


class Solution(object):
    def makesquare(self, nums):
        """"""
        :type nums: List[int]
        :rtype: bool
        """"""
        if not nums:
            return False
        
        length = sum(nums)
        nums.sort(reverse=True)
        
        if length % 4 != 0:
            return False
        
        target = [length//4]*4
        
        def dfs(index):
            if index == len(nums):
                return True
            for i in range(4):
                if target[i] >= nums[index]:
                    target[i] -= nums[index]
                    if dfs(index+1):
                        return True
                    target[i] += nums[index]
                    
            return False
        
        return dfs(0)
```

The solution uses the depth-first search algorithm to solve the problem. It starts by checking if the total length of the matchsticks is divisible by 4. If it is not, then it returns false. If it is, then it divides the total length by 4 to get the length of each side of the square. Then it checks each matchstick in descending order to see if it can be used to form a side of the square. If it can, then it subtracts the length of the matchstick from the target length and moves on to the next matchstick. If it cannot, then it adds the length of the matchstick back to the target length and moves on to the next matchstick. If all matchsticks are used, then it returns true. Otherwise, it returns false.",FALSE
